Phase_Number,State,Constituency,Total_Electorate_Count,Poll_Percent,Total_Votes_Polled
4,Telangana,Hyderabad,2217094.0,48.48,1074827.0
4,Telangana,Karimnagar,1797150.0,72.54,1303690.0
4,Telangana,Khammam,1631039.0,76.09,1241135.0
4,Telangana,Mahabubabad,1532366.0,71.85,1101030.0
4,Telangana,Mahbubnagar,1682470.0,72.43,1218587.0
4,Telangana,Malkajgiri,3779596.0,50.78,1919131.0
4,Telangana,Medak,1828210.0,75.09,1372894.0
4,Telangana,Nagarkurnool,1738254.0,69.46,1207470.0
4,Telangana,Nalgonda,1725465.0,74.02,1277137.0
4,Telangana,Nizamabad,1704867.0,71.92,1226133.0
4,Telangana,Peddapalle,1596430.0,67.87,1083467.0
4,Telangana,Secunderabad,2120401.0,49.04,1039834.0
4,Telangana,Warangal,1824466.0,68.86,1256301.0
4,Telangana,Zahirabad,1641410.0,74.63,1225049.0
4,Uttar Pradesh,Akbarpur,1869167.0,57.78,1079978.0
4,Uttar Pradesh,Baharaich,1838684.0,57.42,1055818.0
4,Uttar Pradesh,Dhaurahra,1719345.0,64.54,1109680.0
4,Uttar Pradesh,Etawah,1828498.0,56.36,1030554.0
4,Uttar Pradesh,Farrukhabad,1747182.0,59.08,1032244.0
4,Uttar Pradesh,Hardoi,1910485.0,57.52,1098820.0
4,Uttar Pradesh,Kannauj,1988925.0,61.08,1214886.0
4,Uttar Pradesh,Kanpur,1662859.0,53.05,882074.0
4,Uttar Pradesh,Kheri,1870170.0,64.68,1209621.0
4,Uttar Pradesh,Misrikh,1878195.0,55.89,1049630.0
4,Uttar Pradesh,Shahjahanpur,2331834.0,53.36,1244364.0
4,Uttar Pradesh,Sitapur,1759943.0,62.54,1100741.0
4,Uttar Pradesh,Unnao,2341740.0,55.46,1298677.0
4,West Bengal,Asansol,1770281.0,73.27,1297096.0
4,West Bengal,Baharampur,1783078.0,77.54,1382678.0
4,West Bengal,Bardhaman Purba,1801333.0,82.85,1492453.0
4,West Bengal,Bardhaman-Durgapur,1851780.0,80.72,1494778.0
4,West Bengal,Birbhum,1857022.0,81.91,1521023.0
4,West Bengal,Bolpur,1839234.0,82.66,1520401.0
4,West Bengal,Krishnanagar,1755631.0,80.65,1415859.0
4,West Bengal,Ranaghat,1871658.0,81.87,1532304.0
5,Bihar,Hajipur,1967094.0,58.43,1149406.0
5,Bihar,Madhubani,1934980.0,53.04,1026408.0
5,Bihar,Muzaffarpur,1866106.0,59.47,1109688.0
5,Bihar,Saran,1795010.0,56.73,1018366.0
5,Bihar,Sitamarhi,1947996.0,56.21,1094885.0
5,"Jammu and
Kashmir",BARAMULLA,1737865.0,59.1,1027084.0
5,Jharkhand,Chatra,1689926.0,63.69,1076352.0
5,Jharkhand,Hazaribagh,1939374.0,64.39,1248798.0
5,Jharkhand,Kodarma,2205318.0,61.81,1363010.0
5,Ladakh,Ladakh,184808.0,71.82,132727.0
5,Maharashtra,Bhiwandi,2087244.0,59.89,1250090.0
5,Maharashtra,Dhule,2022061.0,60.21,1217523.0
5,Maharashtra,Dindori,1853387.0,66.75,1237180.0
5,Maharashtra,Kalyan,2082221.0,50.12,1043610.0
5,Maharashtra,Mumbai North,1811942.0,57.02,1033241.0
5,Maharashtra,Mumbai North Central,1744128.0,51.98,906530.0
5,Maharashtra,Mumbai North East,1636890.0,56.37,922760.0
5,Maharashtra,Mumbai North West,1735088.0,54.84,951580.0
5,Maharashtra,Mumbai South,1536168.0,50.06,769010.0
5,Maharashtra,Mumbai South Central,1474405.0,53.6,790339.0
5,Maharashtra,Nashik,2030124.0,60.75,1233379.0
5,Maharashtra,Palghar,2148514.0,63.91,1373162.0
5,Maharashtra,Thane,2507372.0,52.09,1306194.0
5,Odisha,Aska,1620974.0,62.67,1015883.0
5,Odisha,Bargarh,1631974.0,79.78,1302069.0
5,Odisha,Bolangir,1801744.0,77.52,1396719.0
5,Odisha,Kandhamal,1339090.0,74.16,993091.0
5,Odisha,Sundargarh,1576105.0,73.02,1150875.0
5,Uttar Pradesh,Amethi,1796098.0,54.34,976053.0
5,Uttar Pradesh,Banda,1747425.0,59.7,1043256.0
5,Uttar Pradesh,Barabanki,1918491.0,67.2,1289258.0
5,Uttar Pradesh,Faizabad,1927459.0,59.14,1139882.0
5,Uttar Pradesh,Fatehpur,1938563.0,57.09,1106690.0
5,Uttar Pradesh,Gonda,1843121.0,51.62,951394.0
5,Uttar Pradesh,Hamirpur,1839761.0,60.6,1114874.0
5,Uttar Pradesh,Jalaun,2006161.0,56.18,1127112.0
5,Uttar Pradesh,Jhansi,2161221.0,63.86,1380214.0
5,Uttar Pradesh,Kaiserganj,1904726.0,55.68,1060576.0
5,Uttar Pradesh,Kaushambi,1909620.0,52.8,1008255.0
5,Uttar Pradesh,Lucknow,2172171.0,52.28,1135624.0
5,Uttar Pradesh,Mohanlalganj,2187232.0,62.88,1375372.0
5,Uttar Pradesh,Rae Bareli,1784314.0,58.12,1036997.0
5,West Bengal,Arambagh,1883266.0,82.62,1555882.0
5,West Bengal,Bangaon,1836374.0,81.04,1488209.0
5,West Bengal,Barrackpur,1508728.0,75.41,1137763.0
5,West Bengal,Hooghly,1858067.0,81.38,1512060.0
5,West Bengal,Howrah,1769184.0,71.73,1269079.0
