Constituency_Name,State,EVM Votes Counted,EVM Votes Polled,Difference,Margin
Gautam BuddhaNagar,Uttar Pradesh,1433370,1434667,-1297,559472.0
Gaya,Bihar,958387,958623,-236,101812.0
Ghatal,West Bengal,1593450,1593990,-540,182868.0
Ghaziabad,Uttar Pradesh,1468608,1469260,-652,336965.0
Ghazipur,Uttar Pradesh,1148952,1150496,-1544,124861.0
Ghosi,Uttar Pradesh,1147461,1147213,248,162943.0
Giridih,Jharkhand,1253005,1253553,-548,80880.0
Godda,Jharkhand,1388559,1391960,-3401,101813.0
Gonda,Uttar Pradesh,951592,951394,198,46224.0
Gopalganj,Bihar,1059393,1059298,95,127180.0
Gorakhpur,Uttar Pradesh,1151384,1152057,-673,103526.0
Gulbarga,Karnataka,1306167,1306119,48,27205.0
GUNA,Madhya Pradesh,1368520,1368554,-34,540929.0
Guntur,Andhra Pradesh,1404061,1411989,-7928,344695.0
Gurdaspur,Punjab,1070254,1070267,-13,82861.0
GURGAON,Haryana,1596251,1596240,11,75079.0
Guwahati,Assam,1594699,1596664,-1965,251090.0
GWALIOR,Madhya Pradesh,1337928,1338708,-780,70210.0
Hajipur,Bihar,1149394,1149406,-12,170105.0
HAMIRPUR,Himachal Pradesh,1022970,1025237,-2267,182357.0
Hamirpur,Uttar Pradesh,1113768,1114874,-1106,182357.0
Hardoi,Uttar Pradesh,1097322,1098820,-1498,27856.0
Haridwar,Uttarakhand,1293233,1293362,-129,164056.0
Hassan,Karnataka,1348013,1348966,-953,42649.0
Hathras,Uttar Pradesh,1079010,1079731,-721,247318.0
Hatkanangale,Maharashtra,1290191,1290073,118,13426.0
Haveri,Karnataka,1390513,1391214,-701,43513.0
Hazaribagh,Jharkhand,1249093,1248798,295,276686.0
Hindupur,Andhra Pradesh,1396687,1403259,-6572,132427.0
Hingoli,Maharashtra,1154970,1154958,12,108602.0
HISAR,Haryana,1168313,1168784,-471,63381.0
Hooghly,West Bengal,1511948,1512060,-112,76853.0
HOSHANGABAD,Madhya Pradesh,1247358,1247298,60,431696.0
Hoshiarpur,Punjab,942810,942766,44,44111.0
Howrah,West Bengal,1268854,1269079,-225,169442.0
Hyderabad,Telangana,1073544,1074827,-1283,338087.0
Idukki,Kerala,831914,831936,-22,133727.0
INDORE,Madhya Pradesh,1558311,1558341,-30,1175092.0
Inner Manipur,Manipur,789912,794790,-4878,109801.0
JABALPUR,Madhya Pradesh,1156434,1156722,-288,486674.0
Jadavpur,West Bengal,1558207,1559330,-1123,258201.0
Jagatsinghpur,Odisha,1280103,1283700,-3597,40696.0
Jahanabad,Bihar,920112,920114,-2,142591.0
JAIPUR,Rajasthan,1449110,1449612,-502,331767.0
JAIPUR RURAL,Rajasthan,1237966,1238818,-852,1615.0
Jajpur,Odisha,1151847,1151038,809,481094.0
Jalandhar,Punjab,987602,987508,94,175993.0
Jalaun,Uttar Pradesh,1126966,1127112,-146,53898.0
Jalgaon,Madhya Pradesh,1165216,1165968,-752,251594.0
Jalna,Maharashtra,1357971,1361226,-3255,109958.0
JALORE,Rajasthan,1444896,1444866,30,201543.0
Jalpaiguri,West Bengal,1571995,1577828,-5833,86693.0
JAMMU,Jammu & Kashmir,1285944,1286144,-200,135498.0
Jamnagar,Gujarat,1047992,1048410,-418,238008.0
Jamshedpur,Jharkhand,1264240,1265169,-929,259782.0
Jamui,Bihar,977338,977369,-31,112482.0
Jangipur,West Bengal,1366962,1367014,-52,116637.0
JANJGIR-CHAMPA,Chhattisgarh,1387196,1389012,-1816,60000.0
Jaunpur,Uttar Pradesh,1096957,1099223,-2266,99335.0
JHALAWAR-BARAN,Rajasthan,1415552,1415420,132,370989.0
Jhanjharpur,Bihar,1091394,1091258,136,184169.0
Jhansi,Uttar Pradesh,1378807,1380214,-1407,102614.0
Jhargram,West Bengal,1483802,1485591,-1789,174048.0
JHUNJHUNU,Rajasthan,1094908,1094900,8,18235.0
JODHPUR,Rajasthan,1370371,1370616,-245,115677.0
Jorhat,Assam,1377003,1379749,-2746,144393.0
